track_name,artist,genre,valence,energy,tempo,danceability,acousticness,language,mood_tags
Silent Static,Sana Ray,Jazz,0.57,0.3,90.4,0.52,0.56,English,calm;nostalgic
Drifting Highway,Ishaan Cross,Devotional,0.51,0.22,61.4,0.28,0.63,Hindi,calm;nostalgic
Frozen Fireflies,Ishaan Ray,Bollywood,0.53,0.83,134.4,0.65,0.39,Punjabi,happy;romantic
Electric Garden,Arjun Sinclair,Metal,0.23,0.96,120.1,0.53,0.05,Tamil,angry;energetic
Frozen Compass,Ezra Hart,Indie,0.69,0.39,123.6,0.48,0.29,Tamil,nostalgic;calm
Faded Compass,Noor Chandra,Metal,0.35,0.98,136.6,0.31,0.09,English,angry;energetic
Golden Highway,Sana Hart,Lo-fi,0.5,0.34,76.4,0.62,0.6,Telugu,calm;focused
Frozen Voyage,Leo Kapoor,Hip-Hop,0.44,0.7,94.8,0.79,0.23,English,energetic;focused
Drifting Tides,Noor Cross,Metal,0.35,0.9,154.9,0.44,0.02,Tamil,angry;energetic
Amber Echoes,Aria Rey,Ambient,0.49,0.09,50.6,0.23,0.55,Korean,calm;sad
Neon Voyage,Iris Rey,Lo-fi,0.56,0.34,74.5,0.4,0.52,Telugu,calm;focused
Radiant Garden,Sana Vance,Lo-fi,0.51,0.15,83.8,0.59,0.44,Telugu,calm;focused
Gentle Serenade,Aria Marsh,Rock,0.52,0.83,130.9,0.68,0.09,Telugu,angry;energetic
Hazy Aftermath,Kabir Sen,Classical,0.52,0.13,67.2,0.32,0.82,Tamil,calm;focused
Fearless Highway,Selene Marsh,Indie,0.43,0.56,96.5,0.46,0.28,English,nostalgic;calm
Fierce Echoes,Iris Chandra,EDM,0.77,0.87,127.5,0.82,0.09,English,energetic;happy
Neon Momentum,Ananya Kapoor,Pop,0.58,0.58,125.4,0.78,0.25,Spanish,happy;energetic
Free Rebellion,Arjun Rey,Acoustic,0.65,0.32,80.8,0.31,0.81,English,sad;nostalgic
Restless Serenade,Iris Marsh,Indie,0.65,0.61,119.4,0.5,0.36,Tamil,nostalgic;calm
Faded Paradise,Jude Kapoor,Devotional,0.63,0.21,79.2,0.32,0.89,Hindi,calm;nostalgic
Wild Highway,Ananya Chandra,Pop,0.64,0.61,128.3,0.86,0.13,Spanish,happy;energetic
Burning Signal,Theo Hart,Lo-fi,0.51,0.22,66.9,0.47,0.5,English,calm;focused
Endless Echoes,Ananya Mehta,Acoustic,0.41,0.39,86.2,0.43,0.9,English,sad;nostalgic
Radiant Aftermath,Priya Lane,Jazz,0.46,0.27,117.1,0.47,0.69,English,calm;nostalgic
Gentle Signal,Nova Marsh,Hip-Hop,0.68,0.57,82.4,0.66,0.13,English,energetic;focused
Neon Fireflies,Priya Bloom,Romance,0.71,0.22,89.0,0.44,0.69,Tamil,romantic;calm
